network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,48,64,35.0143920926971,7665.537673950195,12197,64,64,50.46159863114153,1575.1524367559523,7425,30106,85.47599072383863,6,1,5x4
2,48,64,34.441648875020526,7891.841491699219,12735,64,64,50.64233146894318,1549.8460751488096,7156,30605,85.0839803439637,6,1,4x5
2,48,64,47.2983356400256,639.8840789794922,5699,64,64,48.59432230120992,1890.1258370535713,7618,22341,95.89265794123551,5,1,4x9
2,48,64,33.16809008667046,750.2883148193359,14370,64,64,36.09820242008813,2745.2044270833335,14748,31772,69.26629250675859,4,1,9x4
2,48,64,35.04833210776121,7626.917739868164,12162,64,64,49.859530480146844,1555.9678974454366,7396,30077,84.90786258790806,7,1,5x4
2,48,64,34.44956961692621,7903.861557006836,12519,64,64,50.5530414340288,1556.6945064484128,7038,30598,85.00261105095501,7,1,4x5
2,48,64,45.569338488759605,642.1440582275391,7707,64,64,48.56688467510469,1896.120148189484,8346,23186,94.13622316386429,6,1,4x9
2,48,64,35.259289148929014,7485.461776733398,11724,64,64,50.8168570303269,1572.8441840277778,7153,29898,86.07614617925591,8,1,5x4
2,48,64,34.752129387200476,7788.004409790039,12227,64,64,50.65973006134969,1564.2676866319443,6897,30333,85.41185944855016,8,1,4x5
2,48,64,41.08035259549461,601.0337066650391,6636,64,64,44.38390092879257,1935.669937375992,10099,25683,85.46425352428719,5,1,9x4
2,48,64,35.23559259383716,7425.94140625,12077,64,64,49.67715853306382,1597.8656684027778,7442,29918,84.91275112690099,9,1,5x4
2,48,64,34.919941388037834,7477.069320678711,12105,64,64,50.69207347018957,1623.9066840277778,6949,30188,85.61201485822741,9,1,4x5
2,48,64,46.35514356338957,650.9694519042969,6644,64,64,48.464268945440885,1848.4449249751983,7856,22792,94.81941250883045,7,1,4x9
2,48,64,46.1216626347042,596.9713134765625,7328,64,64,48.86347282711608,1781.6458643353174,8179,22893,94.98513546182028,6,1,9x4
2,48,64,35.111706402357356,7445.399337768555,12048,64,64,50.66221655050555,1570.9497612847222,7328,30023,85.7739229528629,10,1,5x4
2,48,64,35.026088118381935,7714.366653442383,12312,64,64,50.1868041036612,1522.8286675347222,7076,30097,85.21289222204314,10,1,4x5
2,48,64,45.08529544945458,652.2488403320312,7469,64,64,47.374334496052874,1877.698257688492,7983,23429,92.45962994550746,8,1,4x9
2,48,64,35.15290489121325,7417.38508605957,12104,64,64,49.62222970049517,1570.7928757440477,7810,29988,84.77513459170842,11,1,5x4
2,48,64,44.361636417481066,616.1769409179688,7141,64,64,47.31136269881285,1760.4085751488096,8827,23795,91.67299911629391,7,1,9x4
2,48,64,35.45121373994185,7377.209014892578,11669,64,64,50.77685950413223,1614.585456969246,6951,29738,86.22807324407408,11,1,4x5
2,48,64,46.37975218480026,712.056884765625,7636,64,64,48.54404364388844,1805.1275111607142,7779,22780,94.9237958286887,9,1,4x9
2,48,64,35.52086720867209,7346.377227783203,11745,64,64,50.12100611828688,1589.2821180555557,7682,29679,85.64187332695897,12,1,5x4
2,48,64,35.0471606671346,7423.202209472656,12613,64,64,50.47393643031785,1628.3934616815477,7062,30079,85.52109709745244,12,1,4x5
2,48,64,45.09616377085842,608.8243713378906,8959,64,64,49.23170848039683,1695.429470486111,8139,23422,94.32787225125526,8,1,9x4
2,48,64,35.47520129914067,7345.655960083008,11651,64,64,50.01414865781568,1612.5936259920634,7480,29717,85.48934995695635,13,1,5x4
2,48,64,35.28420485900801,7469.775924682617,11874,64,64,50.58772789649088,1576.1458333333333,7007,29878,85.87193275549889,13,1,4x5
2,48,64,44.63611954493287,701.1771850585938,8299,64,64,48.0,1861.9430028521826,8432,23665,92.63611954493287,10,1,4x9
2,48,64,35.62102116384143,7250.512069702148,11634,64,64,50.26745884873868,1567.143043154762,7272,29596,85.8884800125801,14,1,5x4
2,48,64,45.82536491565423,563.3185272216797,7537,64,64,49.29754513325055,1647.6124441964287,8041,23040,95.12291004890477,9,1,9x4
2,48,64,35.08351177730193,7388.859085083008,12589,64,64,50.592686991471425,1603.6765718005952,6925,30048,85.67619876877336,14,1,4x5
2,48,64,46.394119283946054,649.3083190917969,6991,64,64,48.84497444633731,1861.0210503472222,7442,22773,95.23909373028337,11,1,4x9
2,48,64,48.2081743368121,549.4784851074219,7170,64,64,49.175416865173894,1658.2252139136904,7193,21909,97.383591201986,10,1,9x4
