network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,36,64,48.86953409,128.4352832,3583,28,64,48.64637255,2424.664171,15272,33684,97.51590664,8,2,9x4
2,60,64,37.2719414,9043.382861,18694,28,64,55.33624454,964.4848781,17427,44118,92.60818594,8,2,5x4
2,60,64,37.62248553,9098.539683,18337,28,64,55.40239779,975.0196891,4445,60000,93.02488332,8,2,4x5
2,44,64,50.02137933,177.3549609,1980,28,64,47.4940267,2452.923187,17733,34501,97.51540604,8,2,4x9
2,64,64,37.85582255,8817.656094,18029,28,64,54.67408231,990.7155244,16099,43440,92.52990486,8,2,5x4
2,40,64,47.50224696,204.4537891,7192,28,64,47.27806925,2785.806937,14061,34649,94.78031622,8,2,9x4
2,64,64,37.71378588,9038.385898,18223,28,64,55.52377366,970.7964212,4381,43602,93.23755954,8,2,4x5
2,48,64,48.33851356,193.2845703,2212,28,64,48.10819789,2387.651387,16308,34065,96.44671145,8,2,4x9
2,68,64,37.72507483,8883.077383,18221,28,64,54.72757946,972.0930003,16047,43590,92.45265429,8,2,5x4
2,68,64,37.64186923,9137.914473,18311,28,64,55.59990402,959.9647648,4341,43685,93.24177325,8,2,4x5
2,44,64,48.54518519,160.4522559,6552,28,64,48.32318417,2461.715051,14344,33908,96.86836936,8,2,9x4
2,52,64,49.38097772,193.5142676,2193,28,64,48.23552502,2370.985105,13415,33976,97.61650274,8,2,4x9
2,72,64,37.67995952,8910.263955,18153,28,64,54.52704474,988.3635081,17214,43642,92.20700427,8,2,5x4
2,72,64,37.54697956,9112.287598,18434,28,64,55.60180995,965.7939453,4340,43795,93.14878951,8,2,4x5
2,48,64,49.38360913,142.6625879,4617,28,64,49.16093835,2416.578944,12748,33335,98.54454748,8,2,9x4
2,56,64,49.40452052,179.1053125,1708,28,64,47.79632249,2420.25727,16748,34285,97.20084301,8,2,4x9
2,24,64,34.77596417,10545.57491,21433,32,64,57.15550231,774.1240728,12986,60000,91.93146648,8,2,5x4
2,24,64,34.86847706,10895.39775,21853,32,64,57.61841498,762.6887824,3651,47147,92.48689203,8,2,4x5
2,52,64,50.60420291,157.8604492,4206,28,64,48.33758493,2461.416903,13309,33897,98.94178784,8,2,9x4
2,28,64,34.89669862,10339.4246,21094,32,64,55.90267103,888.5686849,6975,47110,90.79936965,8,2,5x4
2,60,64,50.53126433,183.432793,2039,28,64,48.02700382,2372.876223,16588,34122,98.55826815,8,2,4x9
2,28,64,34.9212439,10613.00924,21394,32,64,55.577043,872.5489366,11266,47076,90.4982869,8,2,4x5
2,32,64,34.96894543,10259.36621,20766,32,64,55.18375123,898.9729324,7622,47013,90.15269666,8,2,5x4
2,32,64,35.08726844,10573.27233,21325,32,64,56.05529444,845.25073,18163,46854,91.14256289,8,2,4x5
2,56,64,45.90641636,282.2974121,13555,28,64,46.35126022,3034.621528,15770,35857,92.25767658,8,2,9x4
2,64,64,48.43140261,188.675459,1987,28,64,48.20112329,2404.033568,9459,34000,96.63252591,8,2,4x9
2,36,64,35.21774644,10292.04239,20602,32,64,56.00690584,860.4908558,7133,46682,91.22465228,8,2,5x4
2,36,64,34.91529036,10651.91578,21852,32,64,56.37872784,827.5056226,4000,47084,91.2940182,8,2,4x5
2,68,64,48.39134513,195.5090918,2197,28,64,48.16104991,2386.077217,9489,34028,96.55239505,8,2,4x9
2,60,64,49.96005961,166.7994238,6451,28,64,48.76483675,2435.768377,13017,33603,98.72489636,8,2,9x4
2,40,64,35.36293195,10424.29694,21172,32,64,56.65441844,819.7097637,12269,46491,92.01735039,8,2,5x4
2,40,64,34.99209773,10555.0729,21619,32,64,55.41943419,855.7618864,18384,46981,90.41153193,8,2,4x5
2,72,64,48.50022709,212.0812402,2826,28,64,48.2699759,2393.138021,21815,33952,96.77020299,8,2,4x9
