rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
56,16,46.93154625,3392.570602,12076,1000,1000,55.55369536,3354.886505,6604,102.4852416,44720,8,5,110.5432975,94.6431908,112.1108664,18881,22264,18617,421.4258555,136.4994533,139.4641236,34649,400,5x4
56,16,46.32199215,3360.095764,12433,1000,1000,54.90789129,3441.459366,6834,101.2298834,45308,8,5,109.2586505,94.0307912,110.2280433,19103,22409,18935,410.411137,137.0619609,154.5088924,34354,657,4x5
60,16,46.50071453,3401.397995,12450,1000,1000,55.02602855,3420.554504,6789,101.5267431,45134,8,5,109.4936523,93.45112649,110.8132732,19062,22548,18835,425.0927266,136.6147491,138.5307249,34811,401,5x4
60,16,45.99888654,3415.10202,12680,1000,1000,54.96545578,3411.157516,6801,100.9643423,45626,8,5,109.4706808,94.49464102,110.0420731,19066,22299,18967,422.5282718,137.2869639,142.8855636,34478,468,4x5
44,16,59.36231884,575.2319641,6865,1000,1000,38.62442906,7217.749557,14866,97.9867479,54308,8,5,308.9271562,474.7372949,0,27154,17670,0,401.3469238,164.2203674,0,83752,449,9x4
48,16,66.74151868,799.6088715,4116,1000,1000,39.98230763,6560.28183,13944,106.7238263,52464,8,5,319.7853004,533.7283197,0,26232,15717,0,388.0618286,140.9877625,0,11,826,4x9
64,16,46.58127991,3328.888184,12329,1000,1000,55.24054367,3411.903671,6711,101.8218236,45056,8,5,109.9203708,94.41842542,111.7806341,18988,22317,18672,433.15111,136.5849836,130.5799092,33532,389,5x4
64,16,46.2321259,3336.352325,12465,1000,1000,54.78453501,3497.07309,6876,101.0166609,45396,8,5,109.0303505,92.83355362,109.6489624,19143,22698,19035,414.5333006,137.1415381,152.8447197,34084,323,4x5
52,16,67.41953321,775.0772858,3887,1000,1000,40.00976801,6559.230804,13926,107.4293012,52428,8,5,320.0048829,539.1482743,0,26214,15559,0,388.0149536,141.0931702,0,23,965,4x9
48,16,61.05601491,571.2596893,6277,1000,1000,38.65717972,7208.038498,14843,99.71319463,54262,8,5,309.1890457,488.277532,0,27131,17180,0,401.157135,163.9835815,0,82223,417,9x4
68,16,46.36090612,3399.994141,12536,1000,1000,55.31339347,3437.899841,6692,101.6742996,45270,8,5,110.065285,94.22842322,111.3275016,18963,22362,18748,418.2099841,136.6857004,144.0370416,34726,494,5x4
68,16,46.78496378,3462.869705,12258,1000,1000,55.88530619,3244.139816,6500,102.67027,44860,8,5,111.202941,93.94275524,112.7345792,18769,22430,18514,431.4863241,137.0041307,124.2637066,34603,280,4x5
72,16,46.47804132,3364.926575,12380,1000,1000,55.07516151,3440.185577,6776,101.5532028,45156,8,5,109.5913888,94.43535159,111.0904833,19045,22313,18788,423.6424629,136.3074961,138.9645529,33679,455,5x4
72,16,46.72450466,3492.400848,12319,1000,1000,55.9688284,3239.811203,6463,102.6933331,44918,8,5,111.3690838,93.82145242,112.7102279,18741,22459,18518,425.9549859,137.600899,129.9464001,35181,464,4x5
56,16,67.20779387,778.0842743,4060,1000,1000,39.99755874,6560.058075,13934,107.2053526,52444,8,5,319.9072535,537.4556638,0,26222,15608,0,388.0530396,141.1098938,0,12,994,4x9
52,16,61.62294311,561.1659546,6151,1000,1000,38.72570817,7215.391495,14795,100.3486513,54166,8,5,309.7370306,492.8097756,0,27083,17022,0,401.2875977,164.4868774,0,83620,347,9x4
76,16,46.469802,3366.166931,12415,1000,1000,55.13017876,3449.440735,6760,101.5999808,45164,8,5,109.7008304,93.98465656,111.2385013,19026,22420,18763,423.3269962,136.5113595,139.05961,33815,470,5x4
76,16,46.74533497,3413.456192,12349,1000,1000,55.48901942,3328.254013,6634,102.2343544,44898,8,5,110.4146432,94.83487106,111.7447264,18903,22219,18678,425.262848,137.4196331,133.1477984,34717,542,4x5
60,16,67.3113365,789.1895294,4004,1000,1000,40.00366244,6558.3974,13930,107.3149989,52436,8,5,319.9560607,538.2833676,0,26218,15584,0,388.0430298,141.0082092,0,12,877,4x9
56,16,58.35147468,592.33461,7198,1000,1000,38.71141138,7234.69989,14805,97.06288606,54186,8,5,309.622707,466.6559858,0,27093,17976,0,401.6629639,164.2226868,0,84643,437,9x4
80,16,46.6144132,3362.972183,12249,1000,1000,54.74163404,3500.339157,6890,101.3560472,45024,8,5,108.9279265,93.89252295,110.0710895,19161,22442,18962,419.0098123,136.5428259,149.5467926,33885,703,5x4
80,16,46.75784208,3409.655411,12282,1000,1000,55.86446457,3252.059006,6502,102.6223066,44886,8,5,111.1614827,95.16896256,111.8165649,18776,22141,18666,422.1269471,137.0338962,134.7634,33952,499,4x5
64,16,67.58466001,767.6420746,3925,1000,1000,39.99908449,6559.195343,13933,107.5837445,52442,8,5,319.9194539,540.4682688,0,26221,15521,0,388.0140381,140.9703979,0,4,964,4x9
84,16,46.19749817,3396.773804,12598,1000,1000,54.75878636,3464.501236,6887,100.9562845,45430,8,5,108.9620465,93.60472658,110.1873086,19155,22511,18942,422.2595364,136.519135,144.5718141,34711,371,5x4
84,16,46.52134574,3473.017105,12445,1000,1000,55.93897039,3228.990555,6484,102.4603161,45114,8,5,111.3096901,93.41384049,112.4430557,18751,22557,18562,433.3863608,137.1969384,122.3885686,34064,477,4x5
60,16,59.61544147,569.0922546,6820,1000,1000,38.66003023,7229.246918,14841,98.2754717,54258,8,5,309.2118397,476.760898,0,27129,17595,0,401.5395508,164.0765076,0,82913,330,9x4
88,16,46.87489861,3378.524948,12167,1000,1000,55.02602855,3367.708221,6789,101.9009272,44774,8,5,109.4936523,95.06591473,110.68399,19062,22165,18857,422.5036183,136.7583526,140.2445725,33807,413,4x5
68,16,66.89906852,781.0035553,4169,1000,1000,40.03420892,6556.831543,13910,106.9332774,52396,8,5,320.2003206,534.9877551,0,26198,15680,0,387.9746399,141.0784607,0,1,983,4x9
88,16,46.61855817,3400.433395,12288,1000,1000,55.27755812,3460.561578,6700,101.8961163,45020,8,5,110.0121238,93.83398646,110.6781207,18971,22456,18858,427.2724931,136.1482201,137.0479578,34183,290,5x4
64,16,59.41613781,586.4565735,6852,1000,1000,38.64863072,7223.648376,14849,98.06476852,54274,8,5,309.1206839,475.1675541,0,27137,17654,0,401.375,163.9689941,0,82926,435,9x4
92,16,46.73908393,3419.820847,12256,1000,1000,56.0795807,3276.34642,6434,102.8186646,44904,8,5,111.5893926,93.85070372,112.8137938,18704,22452,18501,430.1948976,136.6558134,125.7047712,33211,460,4x5
92,16,46.86232881,3373.827469,12096,1000,1000,55.39814032,3408.239944,6664,102.2604691,44786,8,5,110.233865,95.00590649,111.6729802,18934,22179,18690,417.1210597,136.556919,144.5921747,34449,463,5x4
72,16,66.81807175,791.8301086,4224,1000,1000,39.9914569,6557.574875,13938,106.8095287,52452,8,5,319.8584611,534.3402765,0,26226,15699,0,388.0295105,141.1381531,0,3,753,4x9
96,16,46.57093542,3446.001175,12378,1000,1000,55.44207688,3301.815475,6652,102.0130123,45066,8,5,110.3212643,94.73254507,111.9905564,18919,22243,18637,432.6790139,137.2256105,126.7118852,34485,412,4x5
68,16,60.34622468,591.2119293,6505,1000,1000,38.69855329,7222.100479,14814,99.04477797,54204,8,5,309.5198878,482.6031527,0,27102,17382,0,401.3716736,164.3309326,0,84340,390,9x4
96,16,46.6891357,3414.060608,12266,1000,1000,55.60377559,3366.677505,6593,102.2929113,44952,8,5,110.6429177,94.22420963,112.3159877,18864,22363,18583,431.0165583,136.5136678,128.4575003,34437,609,5x4
16,20,45.40530146,3673.305222,13404,1000,1000,56.62163184,3159.048141,6343,102.0269333,46222,8,5,112.6676383,92.1514913,113.9097309,18525,22866,18323,490.6896848,137.1069129,196.6847786,36423,525,4x5
76,16,68.11588931,753.4450531,3853,1000,1000,39.99755874,6561.17218,13934,108.1134481,52444,8,5,319.9072535,544.7148052,0,26222,15400,0,388.0829468,141.1781006,0,13,1051,4x9
16,20,45.69618333,3662.281738,13085,1000,1000,56.2148716,3233.42923,6569,101.9110549,45928,8,5,111.8585133,92.49938543,113.6182907,18659,22780,18370,516.8001962,136.2203863,172.0983687,37330,648,5x4
