network_frequency,rn_r_tracker_outstanding,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_w_tracker_outstanding,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,64,49.52053244,151.4953766,1886,32,48.9144157,1770.631076,6552,21415,98.43494814,9x4
2,24,49.3169034,422.6926727,4986,68,49.16604744,1778.36525,8900,21420,98.48295084,9x4
2,68,49.3076272,407.4400024,4064,68,49.19651113,1690.956473,9092,21424,98.50413833,9x4
2,60,49.30994592,355.8524933,3644,60,49.13562146,1760.802796,9076,21425,98.44556738,9x4
2,28,49.30530869,465.1083221,5885,72,49.73939861,1708.496497,8736,21425,99.04470731,9x4
2,28,49.27981953,159.7597961,2544,32,48.86578611,1768.522306,6386,21436,98.14560564,9x4
2,40,49.26361287,313.0024567,3567,56,49.0468995,1758.980763,9255,21450,98.31051237,9x4
2,56,49.24047899,428.2720947,4862,68,49.04456904,1713.87438,8894,21454,98.28504802,9x4
2,32,49.40235006,165.371582,2361,36,48.82879985,1773.007999,7781,21467,98.2311499,9x4
2,64,49.19427633,477.7820892,5022,72,49.26930788,1701.292969,8975,21473,98.46358421,9x4
2,44,49.17351341,455.8427429,5596,72,49.11691649,1759.350818,9055,21486,98.2904299,9x4
2,64,49.16429107,399.3382263,4137,68,49.03990878,1716.80506,8950,21489,98.20419985,9x4
2,28,49.15046405,388.7993774,4779,64,49.05622356,1766.681594,9064,21494,98.20668761,9x4
2,36,49.11132968,468.0509796,5462,72,48.91209781,1752.17465,9064,21510,98.02342749,9x4
2,72,49.10443008,471.4566803,5321,72,48.93064707,1735.871574,9010,21515,98.03507716,9x4
2,52,49.07685107,130.9057465,2093,32,48.66305219,1787.912171,7035,21524,97.73990326,9x4
2,28,49.04242084,411.210434,5096,68,49.15668159,1758.720099,9053,21539,98.19910243,9x4
2,32,49.00345827,402.0917816,4748,64,49.87398531,1736.14481,8718,21556,98.87744358,9x4
2,56,48.92115331,460.4788361,5143,72,48.97708185,1739.712534,9115,21592,97.89823516,9x4
2,28,48.92571855,328.6604462,3858,56,48.68141301,1755.998775,9254,21595,97.60713156,9x4
2,32,48.88238311,121.7758942,2144,28,48.50298388,1731.661706,5761,21609,97.38536699,9x4
2,32,48.85505288,361.7009277,4096,60,48.62637207,1780.290318,9115,21622,97.48142496,9x4
2,40,48.85505288,452.5932617,5632,72,48.75499504,1763.138687,9242,21622,97.61004792,9x4
2,60,48.85050082,401.1983643,4426,64,48.68141301,1775.570855,9018,21631,97.53191382,9x4
