network_frequency,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,44,29.255510295184422,12975.536392211914,19488,24,57.490921243177006,644.3428354414683,4602,36001,86.74643153836143,4x5
2,40,39.806240983979954,2981.593246459961,12502,24,56.388527724665394,971.1047712053571,6215,26500,96.19476870864534,9x4
2,44,40.73242892873658,3990.3866271972656,14209,24,62.3756345177665,576.7994481646825,3323,25913,103.10806344650308,4x9
2,48,29.76879400408812,11617.232177734375,18800,24,56.89202447224825,691.2347005208334,5249,35384,86.66081847633637,5x4
2,48,30.141021587283337,11588.449981689453,18562,24,56.17371428571428,681.7471323164683,5293,34948,86.31473587299762,4x5
2,44,41.222471203365174,2594.354019165039,12361,24,56.72007912957468,1037.0068979414682,5898,25595,97.94255033293985,9x4
2,52,30.521787221656236,11110.293655395508,18078,24,56.26557645134914,688.3686290922619,5465,34515,86.78736367300537,5x4
2,52,31.96098512557913,11026.229461669922,17059,24,56.72943116240725,664.5856119791666,4962,32967,88.69041628798638,4x5
2,48,48.12119255181483,1477.7085876464844,8819,24,55.410779471762936,1093.3273344494048,5309,21961,103.53197202357777,4x9
2,56,31.26531099051822,10506.864700317383,17924,24,56.86381665932129,713.2689422123016,5275,33698,88.1291276498395,5x4
2,48,39.66169906952114,2630.2191314697266,14871,24,55.70984455958549,1042.5169425843253,6474,26596,95.37154362910664,9x4
2,56,32.41648375428942,10251.605255126953,16788,24,56.036482084690554,680.4014136904761,5259,32510,88.45296583897998,4x5
2,52,48.24964366570137,1935.0051727294922,9445,24,56.67647704810015,923.8697916666666,4526,21903,104.92612071380152,4x9
2,60,33.08436928125197,10031.720291137695,16088,24,56.561565017261216,700.6383463541666,5122,31853,89.6459342985132,4x5
2,60,30.99911310825992,10475.609329223633,18171,24,56.41318248893261,683.4625961061508,5436,60000,87.41229559719253,5x4
2,52,43.38336781133637,1552.3245544433594,11308,24,52.11511663132384,1381.9692925347222,8247,24328,95.49848444266021,9x4
2,56,42.334458388259385,1533.0138092041016,13571,24,55.44351936402213,1099.4756324404761,5471,24939,97.77797775228152,4x9
2,64,33.07915076185369,10341.060684204102,16572,24,56.0760580214049,735.9053664434524,5388,31858,89.15520878325859,4x5
2,64,32.44055316647589,10256.358627319336,16237,24,55.82131847926018,715.6404699900794,5673,32483,88.26187164573606,5x4
2,60,46.86075179128853,1251.9713287353516,9453,24,54.41180811808118,1127.0282583085318,6134,22547,101.2725599093697,4x9
2,56,40.02809589250267,1034.8550720214844,14237,24,51.486033519553075,1554.694103422619,8350,26354,91.51412941205575,9x4
2,68,32.566494813342445,10428.2275390625,16333,24,57.200997506234415,735.764663938492,4829,32357,89.76749231957686,4x5
2,68,31.60360468971337,10088.986099243164,17461,24,55.99696197037921,718.0281187996031,5544,33339,87.60056666009258,5x4
2,64,51.297513936126734,596.31884765625,5710,24,52.355668272888664,1309.5904327876983,6432,20612,103.6531822090154,4x9
2,60,42.47654541035405,2317.0487670898438,14550,24,56.079104639791375,1184.7898375496031,6286,24844,98.55565005014543,9x4
2,72,33.475162814455366,9481.592300415039,15924,24,56.5120175198467,708.8643973214286,5203,31483,89.98718033430207,4x5
2,72,33.67836839569616,9439.547561645508,16057,24,55.553928955866525,714.3688306051587,5747,31295,89.23229735156269,5x4
2,68,49.80132779386014,672.5382843017578,6579,24,52.52083651350939,1298.9103577628969,6646,21226,102.32216430736952,4x9
2,24,24.864859737734463,15444.515167236328,24862,28,57.08079411602057,625.2565724206349,4763,42330,81.94565385375503,4x5
2,64,43.39234429960687,1802.2601776123047,11730,24,52.762459745437816,1312.2140376984128,7192,24323,96.15480404504468,9x4
2,24,24.25687054686777,16283.18130493164,26692,28,57.00513613519633,633.7905660962301,5066,43388,81.2620066820641,5x4
2,72,47.76601157545587,731.93359375,10031,24,52.75167373639291,1256.2415209573412,6273,22123,100.51768531184878,4x9
2,28,24.901469994537983,15918.747177124023,26329,28,58.07967589466577,635.645740327381,4429,42268,82.98114588920376,4x5
2,28,24.83600189483657,15759.332077026367,25890,28,58.06987341772152,602.1057322668651,4222,42380,82.9058753125581,5x4
2,68,42.555844155844156,2881.5491943359375,14689,24,56.8763500110205,1057.1691003224207,5904,24798,99.43219416686466,9x4
2,32,26.838392628615306,13697.73110961914,21888,28,56.62051563357104,637.2851252480159,4993,39229,83.45890826218634,4x5
2,24,37.45660576644386,4618.97673034668,13875,28,61.649166815982795,525.6629154265873,2916,28164,99.10577258242665,4x9
2,32,25.793323985929696,14804.56802368164,23789,28,56.779360800924145,608.8763640873016,5230,40813,82.57268478685384,5x4
